Team1,Team2,Score,Round,Region,Seed1,Seed2,Winner
Syracuse,UNC Asheville,72-65,First Round,East,1,16,Syracuse
Kansas St.,Southern Miss,70-64,First Round,East,8,9,Kansas St.
Vanderbilt,Harvard,79-70,First Round,East,5,12,Vanderbilt
Wisconsin,Montana,73-49,First Round,East,4,13,Wisconsin
Cincinatti,Texas,65-59,First Round,East,6,11,Cincinatti
Florida St.,Saint Bonaventure,66-63,First Round,East,3,14,Florida St.
Gonzaga,West Virginia,77-54,First Round,East,7,10,Gonzaga
Ohio St.,Loyola MD,78-59,First Round,East,2,15,Ohio St.
Michigan St.,Long Island,89-67,First Round,West,1,16,Michigan St.
Memphis,Saint Louis,54-61,First Round,West,8,9,Saint Louis
New Mexico,Long Beach St.,75-68,First Round,West,5,12,New Mexico
Louisville,Davidson,69-62,First Round,West,4,13,Louisville
Murray St.,Colorado St.,58-41,First Round,West,6,11,Murray St.
Marquette,BYU,88-68,First Round,West,3,14,Marquette
Florida,Virginia,71-45,First Round,West,7,10,Florida
Missouri,Norfolk St.,84-86,First Round,West,2,15,Norfolk St.
Kentucky,Western Kentucky,81-66,First Round,South,1,16,Kentucky
Iowa St.,Uconn,77-64,First Round,South,8,9,Iowa St.
Wichita St.,VCU,59-62,First Round,South,5,12,VCU
Indiana,New Mexico St.,79-66,First Round,South,4,13,Indiana
UNLV,Colorado,64-68,First Round,South,6,11,Colorado
Baylor,South Dakota St.,68-60,First Round,South,3,14,Baylor
Notre Dame,Xavier,63-67,First Round,South,7,10,Xavier
Duke,Lehigh,70-75,First Round,South,2,15,Lehigh
North Carolina,Vermont,77-58,First Round,Midwest,1,16,North Carolina
Creighton,Alabama,58-57,First Round,Midwest,8,9,Creighton
Temple,South Florida,44-58,First Round,Midwest,5,12,South Florida
Michigan,Ohio,60-65,First Round,Midwest,4,13,Ohio
San Diego St.,NC State,65-79,First Round,Midwest,6,11,NC State
Georgetown,Belmont,74-59,First Round,Midwest,3,14,Georgetown
Saint Mary's,Purdue,69-72,First Round,Midwest,7,10,Purdue
Kansas,Detroit Mercy,65-50,First Round,Midwest,2,15,Kansas
Syracuse,Kansas St.,75-59,Second Round,East,1,8,Syracuse
Vanderbilt,Wisconsin,57-60,Second Round,East,5,4,Wisconsin
Cincinatti,Florida St.,62-56,Second Round,East,6,3,Cincinatti
Gonzaga,Ohio St.,66-73,Second Round,East,7,2,Ohio St.
Michigan St.,Saint Louis,65-61,Second Round,West,1,9,Michigan St.
New Mexico,Louisville,56-59,Second Round,West,5,4,Louisville
Murray St.,Marquette,53-62,Second Round,West,6,3,Marquette
Florida,Norfolk St.,84-50,Second Round,West,7,15,Florida
Kentucky,Iowa St.,87-71,Second Round,South,1,8,Kentucky
VCU,Indiana,61-63,Second Round,South,12,4,Indiana
Colorado,Baylor,63-80,Second Round,South,11,3,Baylor
Xavier,Lehigh,70-58,Second Round,South,10,15,Xavier
North Carolina,Creighton,87-73,Second Round,Midwest,1,8,North Carolina
South Florida,Ohio,56-62,Second Round,Midwest,12,13,Ohio
NC State,Georgetown,66-63,Second Round,Midwest,11,3,NC State
Purdue,Kansas,60-63,Second Round,Midwest,10,2,Kansas
Syracuse,Wisconsin,64-63,Sweet 16,East,1,4,Syracuse
Cincinatti,Ohio St.,66-81,Sweet 16,East,6,2,Ohio St.
Michigan St.,Louisville,44-57,Sweet 16,West,1,4,Louisville
Marquette,Florida,58-68,Sweet 16,West,3,7,Florida
Kentucky,Indiana,102-90,Sweet 16,South,1,4,Kentucky
Baylor,Xavier,75-70,Sweet 16,South,3,10,Baylor
North Carolina,Ohio,73-65,Sweet 16,Midwest,1,13,North Carolina
NC State,Kansas,57-60,Sweet 16,Midwest,11,2,Kansas
Syracuse,Ohio St.,70-77,Elite Eight,East,1,2,Ohio St.
Louisville,Florida,72-68,Elite Eight,West,4,7,Louisville
Kentucky,Baylor,82-70,Elite Eight,South,1,3,Kentucky
North Carolina,Kansas,67-80,Elite Eight,Midwest,1,2,Kansas
Kentucky,Louisville,69-61,Final Four,National,1,4,Kentucky
Ohio St.,Kansas,62-64,Final Four,National,2,2,Kansas
Kentucky,Kansas,67-59,Championship,National,1,2,Kentucky
