Team1,Team2,Score,Round,Region,Seed1,Seed2,Winner
Villanova,Radford,87-61,First Round,East,1,16,Villanova
Virginia Tech,Alabama,83-86,First Round,East,8,9,Alabama
West Virginia,Murray St.,85-68,First Round,East,5,12,West Virginia
Wichita St,Marshall,75-81,First Round,East,4,13,Marshall
Florida,Saint Bonaventure,77-62,First Round,East,6,11,Florida
Texas Tech,SF Austin,70-60,First Round,East,3,14,Texas Tech
Arkansas,Butler,62-79,First Round,East,7,10,Butler
Purdue,Fullerton,74-48,First Round,East,2,15,Purdue
Xavier,Texas Southern,102-83,First Round,West,1,16,Xavier
Missouri,Florida St.,54-67,First Round,West,8,9,Florida St.
Ohio St,South Dakota St.,81-73,First Round,West,5,12,Ohio St.
Gonzaga,UNC Greensboro,68-64,First Round,West,4,13,Gonzaga
Houston,San Diego St.,67-65,First Round,West,6,11,Houston
Michigan,Montana,61-47,First Round,West,3,14,Michigan
Texas A&M,Providence,73-69,First Round,West,7,10,Texas A&M
North Carolina,Lipscomb,84-66,First Round,West,2,15,North Carolina
Virginia,UMBC,54-74,First Round,South,1,16,UMBC
Creighton,Kansas St.,59-69,First Round,South,8,9,Kansas St.
Kentucky,Davidson,78-73,First Round,South,5,12,Kentucky
Arizona,Buffalo,68-89,First Round,South,4,13,Buffalo
Miami,Loyola Chicago,62-64,First Round,South,6,11,Loyola Chicago
Tennesee,Wright St.,73-47,First Round,South,3,14,Tennesse
Nevada,Texas,87-83,First Round,South,7,10,Nevada
Cincinatti,Georgia St.,68-53,First Round,South,2,15,Cincinatti
Kansas,Penn,76-60,First Round,Midwest,1,16,Kansas
Seton Hall,NC State,94-83,First Round,Midwest,8,9,Seton Hall
Clemson,New Mexico St.,79-68,First Round,Midwest,5,12,Clemson
Auburn,Charleston,62-58,First Round,Midwest,4,13,Auburn
TCU,Syracuse,52-57,First Round,Midwest,6,11,Syracuse
Michigan St.,Bucknell,82-78,First Round,Midwest,3,14,Michigan St.
Rhode Island,Oklahoma,83-78,First Round,Midwest,7,10,Rhode Island
Duke,Iona,89-67,First Round,Midwest,2,15,Duke
Villanova,Alabama,81-58,Second Round,East,1,9,Villanova
West Virginia,Marshall,94-71,Second Round,East,5,13,West Virginia
Florida,Texas Tech,66-69,Second Round,East,6,3,Texas Tech
Butler,Purdue,73-76,Second Round,East,10,2,Purdue
Xavier,Florida St.,70-75,Second Round,West,1,9,Florida St.
Ohio St,Gonzaga,84-90,Second Round,West,5,4,Gonzaga
Houston,Michigan,63-64,Second Round,West,6,3,Michigan
Texas A&M,North Carolina,86-65,Second Round,West,7,2,Texas A&M
UMBC,Kansas St.,43-50,Second Round,South,16,9,Kansas St.
Kentucky,Buffalo,95-75,Second Round,South,5,13,Kentucky
Loyola Chicago,Tennesse,63-62,Second Round,South,11,3,Loyola Chicago
Nevada,Cincinatti,75-73,Second Round,South,7,2,Nevada
Kansas,Seton  Hall,83-79,Second Round,Midwest,1,8,Kansas
Clemson,Auburn,84-53,Second Round,Midwest,5,4,Clemson
Syracuse,Michigan St.,55-53,Second Round,Midwest,11,3,Syracuse
Rhode Island,Duke,62-87,Second Round,Midwest,7,2,Duke
Villanova,West Virginia,90-78,Sweet 16,East,1,5,Villanova
Texas Tech,Purdue,78-65,Sweet 16,East,3,2,Texas Tech
Florida St.,Gonzaga,75-60,Sweet 16,West,9,4,Florida St.
Michigan,Texas A&M,99-72,Sweet 16,West,3,7,Michigan
Kansas St.,Kentucky,61-58,Sweet 16,South,9,5,Kansas St.
Loyola Chicago,Nevada,69-68,Sweet 16,South,11,7,Loyola Chicago
Kansas,Clemson,80-76,Sweet 16,Midwest,1,5,Kansas
Syracuse,Duke,65-69,Sweet 16,Midwest,11,2,Duke
Villanova,Texas Tech,71-59,Elite Eight,East,1,3,Villanova
Florida St.,Michigan,54-58,Elite Eight,West,9,3,Michigan
Kansas St.,Loyola Chicago,62-78,Elite Eight,South,9,11,Loyola Chicago
Kansas,Duke,85-81,Elite Eight,Midwest,1,2,Kansas
Loyola Chicago,Michigan,57-69,Final Four,National,11,3,Michigan
Villanova,Kansas,95-79,Final Four,National,1,1,Villanova
Michigan,Villanova,62-79,Championship,National,3,1,Villanova
